Building,"_time",Clients
FSS,"2021-11-22T00:00:00.000-0500",464
UniCenter,"2021-12-14T00:00:00.000-0500",464
UniCenter,"2022-02-02T00:00:00.000-0500",464
FSS,"2021-12-03T00:00:00.000-0500",461
Morisset,"2021-12-11T00:00:00.000-0500",461
FSS,"2021-11-18T00:00:00.000-0500",460
Marion,"2021-12-01T00:00:00.000-0500",460
MontPetit,"2021-11-16T00:00:00.000-0500",456
FSS,"2021-11-29T00:00:00.000-0500",455
UniCenter,"2022-02-08T00:00:00.000-0500",455
Morisset,"2021-11-19T00:00:00.000-0500",454
UniCenter,"2021-11-29T00:00:00.000-0500",453
STEM,"2021-11-23T00:00:00.000-0500",452
CRX,"2022-01-20T00:00:00.000-0500",450
UniCenter,"2021-11-18T00:00:00.000-0500",448
FSS,"2021-12-09T00:00:00.000-0500",447
STEM,"2021-11-29T00:00:00.000-0500",447
UniCenter,"2022-02-04T00:00:00.000-0500",447
FSS,"2021-12-02T00:00:00.000-0500",445
RGN,"2022-01-07T00:00:00.000-0500",445
STEM,"2021-11-26T00:00:00.000-0500",444
UniCenter,"2021-11-22T00:00:00.000-0500",443
STEM,"2021-12-15T00:00:00.000-0500",441
FSS,"2022-02-02T00:00:00.000-0500",439
FSS,"2021-12-06T00:00:00.000-0500",438
STEM,"2021-11-17T00:00:00.000-0500",437
RGN,"2021-12-21T00:00:00.000-0500",436
FSS,"2021-11-19T00:00:00.000-0500",434
FSS,"2022-01-31T00:00:00.000-0500",433
Morisset,"2022-02-03T00:00:00.000-0500",433
DMS,"2022-02-03T00:00:00.000-0500",431
Morisset,"2021-12-12T00:00:00.000-0500",429
SITE,"2021-12-01T00:00:00.000-0500",428
UniCenter,"2021-11-25T00:00:00.000-0500",428
CRX,"2022-01-28T00:00:00.000-0500",426
Fauteux,"2022-02-08T00:00:00.000-0500",426
STEM,"2021-11-22T00:00:00.000-0500",424
Tabaret,"2021-12-01T00:00:00.000-0500",424
CRX,"2021-12-04T00:00:00.000-0500",423
MontPetit,"2021-12-01T00:00:00.000-0500",423
DMS,"2021-11-22T00:00:00.000-0500",422
FSS,"2022-02-04T00:00:00.000-0500",422
STEM,"2022-02-08T00:00:00.000-0500",420
UniCenter,"2022-02-10T00:00:00.000-0500",420
DMS,"2021-12-07T00:00:00.000-0500",417
DMS,"2021-12-15T00:00:00.000-0500",417
MontPetit,"2021-11-30T00:00:00.000-0500",417
STEM,"2022-02-10T00:00:00.000-0500",416
SPX,"2021-11-30T00:00:00.000-0500",414
DMS,"2022-02-08T00:00:00.000-0500",412
UniCenter,"2022-02-03T00:00:00.000-0500",412
ARC,"2021-11-16T00:00:00.000-0500",411
UniCenter,"2022-02-09T00:00:00.000-0500",409
CRX,"2022-01-19T00:00:00.000-0500",406
CBY,"2021-12-15T00:00:00.000-0500",405
MontPetit,"2022-02-03T00:00:00.000-0500",405
Morisset,"2021-12-05T00:00:00.000-0500",405
UniCenter,"2021-11-26T00:00:00.000-0500",404
CRX,"2021-11-21T00:00:00.000-0500",403
CRX,"2021-11-27T00:00:00.000-0500",401
FSS,"2022-02-01T00:00:00.000-0500",401
DMS,"2022-02-09T00:00:00.000-0500",399
MontPetit,"2022-02-09T00:00:00.000-0500",399
Morisset,"2021-11-26T00:00:00.000-0500",394
CBY,"2022-01-24T00:00:00.000-0500",393
DMS,"2021-11-23T00:00:00.000-0500",393
UniCenter,"2022-02-07T00:00:00.000-0500",392
DMS,"2021-11-24T00:00:00.000-0500",391
DMS,"2021-12-02T00:00:00.000-0500",391
CRX,"2021-11-28T00:00:00.000-0500",390
STEM,"2021-11-25T00:00:00.000-0500",389
FSS,"2022-02-03T00:00:00.000-0500",387
Morisset,"2021-11-21T00:00:00.000-0500",386
Vanier,"2021-12-01T00:00:00.000-0500",385
CRX,"2022-02-05T00:00:00.000-0500",382
CRX,"2022-02-11T00:00:00.000-0500",381
CRX,"2021-11-20T00:00:00.000-0500",380
LMX,"2021-11-16T00:00:00.000-0500",379
STEM,"2021-12-02T00:00:00.000-0500",379
STEM,"2022-02-01T00:00:00.000-0500",379
Morisset,"2022-02-01T00:00:00.000-0500",378
Morisset,"2022-02-04T00:00:00.000-0500",374
CRX,"2022-02-06T00:00:00.000-0500",373
DMS,"2022-02-07T00:00:00.000-0500",372
ARC,"2021-11-30T00:00:00.000-0500",371
DMS,"2021-11-29T00:00:00.000-0500",371
bioScience,"2021-12-01T00:00:00.000-0500",371
CRX,"2022-01-30T00:00:00.000-0500",366
STEM,"2022-01-24T00:00:00.000-0500",366
STEM,"2022-02-02T00:00:00.000-0500",366
SITE,"2021-12-15T00:00:00.000-0500",365
Diorio,"2021-11-16T00:00:00.000-0500",364
Fauteux,"2022-02-10T00:00:00.000-0500",364
CRX,"2021-12-17T00:00:00.000-0500",362
RGN,"2021-12-22T00:00:00.000-0500",362
bioScience,"2022-01-24T00:00:00.000-0500",362
SPX,"2021-11-16T00:00:00.000-0500",360
CBY,"2022-02-09T00:00:00.000-0500",359
Morisset,"2021-11-28T00:00:00.000-0500",359
CBY,"2021-11-29T00:00:00.000-0500",358
UniCenter,"2021-12-04T00:00:00.000-0500",358
Marion,"2022-01-31T00:00:00.000-0500",357
DMS,"2021-11-17T00:00:00.000-0500",356
Diorio,"2021-11-30T00:00:00.000-0500",356
Morisset,"2021-11-27T00:00:00.000-0500",356
STEM,"2022-02-07T00:00:00.000-0500",356
LMX,"2021-11-30T00:00:00.000-0500",355
Marion,"2022-02-10T00:00:00.000-0500",353
UniCenter,"2022-02-01T00:00:00.000-0500",353
Vanier,"2021-11-30T00:00:00.000-0500",353
Fauteux,"2021-11-29T00:00:00.000-0500",352
Fauteux,"2021-12-02T00:00:00.000-0500",352
MontPetit,"2022-02-07T00:00:00.000-0500",352
CBY,"2022-02-08T00:00:00.000-0500",351
DMS,"2021-11-25T00:00:00.000-0500",351
FSS,"2021-11-26T00:00:00.000-0500",351
Marion,"2022-02-02T00:00:00.000-0500",351
CRX,"2022-01-21T00:00:00.000-0500",350
DMS,"2021-11-18T00:00:00.000-0500",349
Fauteux,"2021-11-24T00:00:00.000-0500",347
Fauteux,"2022-02-03T00:00:00.000-0500",346
SITE,"2021-11-25T00:00:00.000-0500",346
STEM,"2021-11-18T00:00:00.000-0500",346
UniCenter,"2022-01-31T00:00:00.000-0500",344
Arts,"2021-12-01T00:00:00.000-0500",339
CBY,"2021-11-24T00:00:00.000-0500",338
Vanier,"2021-11-16T00:00:00.000-0500",338
RGN,"2021-12-04T00:00:00.000-0500",336
CBY,"2021-11-17T00:00:00.000-0500",335
UniCenter,"2021-12-17T00:00:00.000-0500",335
DMS,"2022-02-02T00:00:00.000-0500",334
CRX,"2022-01-18T00:00:00.000-0500",332
Fauteux,"2021-12-08T00:00:00.000-0500",332
SITE,"2022-02-08T00:00:00.000-0500",331
STEM,"2021-11-19T00:00:00.000-0500",331
Marion,"2022-02-03T00:00:00.000-0500",330
Marion,"2022-02-07T00:00:00.000-0500",330
SITE,"2021-11-24T00:00:00.000-0500",330
Fauteux,"2021-11-23T00:00:00.000-0500",329
UniCenter,"2022-02-11T00:00:00.000-0500",329
ARC,"2022-01-24T00:00:00.000-0500",328
Marion,"2021-11-25T00:00:00.000-0500",328
bioScience,"2022-02-09T00:00:00.000-0500",328
Diorio,"2021-12-01T00:00:00.000-0500",326
CBY,"2021-11-23T00:00:00.000-0500",325
CBY,"2022-02-02T00:00:00.000-0500",325
FSS,"2021-12-14T00:00:00.000-0500",325
DMS,"2021-11-19T00:00:00.000-0500",322
SITE,"2022-02-09T00:00:00.000-0500",322
FSS,"2021-12-10T00:00:00.000-0500",321
STEM,"2021-12-03T00:00:00.000-0500",321
STEM,"2022-02-09T00:00:00.000-0500",321
bioScience,"2021-11-17T00:00:00.000-0500",321
STEM,"2022-02-03T00:00:00.000-0500",320
STEM,"2021-12-07T00:00:00.000-0500",319
CBY,"2021-12-03T00:00:00.000-0500",318
Fauteux,"2021-12-03T00:00:00.000-0500",318
CBY,"2021-11-22T00:00:00.000-0500",317
Marion,"2022-01-24T00:00:00.000-0500",316
